model,Accuracy,Precision,Recall,F1-score
Logistic Regression,0.798105387803434,0.7339246119733924,0.5996376811594203,0.6600199401794616
Random Forest,0.8342214328004737,0.8383084577114428,0.6105072463768116,0.7064989517819706
XGBoost,0.822380106571936,0.750996015936255,0.6829710144927537,0.715370018975332
Gradient Boosting,0.8342214328004737,0.7666666666666667,0.7083333333333334,0.736346516007533
Soft Voting,0.8342214328004737,0.7893617021276595,0.6721014492753623,0.726027397260274
CatBoost,0.8235642391947898,0.6697860962566845,0.907608695652174,0.7707692307692308
