model,Accuracy,Precision,Recall,F1
Random Forest,0.7953645007923931,0.6447823082239116,0.997327632282202,0.7832109129066107
Hybrid Model,0.794770206022187,0.6442141623488774,0.9967931587386424,0.7826269408308855
Tuned XGBoost,0.7949683042789224,0.6449375866851595,0.9941207910208445,0.7823343848580442
Stacking Model,0.794770206022187,0.6457242582897034,0.9887760555852485,0.78125
Gradient Boosting,0.7937797147385103,0.6440972222222222,0.9914484233030465,0.7808882340559882
Logistic Regression,0.7872424722662441,0.6548775748153906,0.9005879208979155,0.7583258325832584
